modularity_class, Id
1076, 一灯大师
827, 丁不三
827, 丁不四
742, 丁典
55, 丁勉
925, 丁同
55, 丁坚
775, 丁大全
440, 丁敏君
657, 丁春秋
982, 丁游
742, 万圭
55, 万大平
1134, 万庆澜
982, 万里风
742, 万震山
55, 上官
55, 上官云
1134, 上官毅山
925, 上官虹
909, 上官铁生
657, 不平道人
55, 不戒和尚
827, 丑脸汉子
1076, 丘处机
55, 丛不弃
55, 东方不败
55, 严三星
657, 严妈妈
596, 丧门鬼
909, 中年武师
55, 丹青生
440, 乌旺阿普
657, 乌老大
55, 乐厚
1076, 乔寨主
657, 乔峰
440, 乔福
1230, 九死生
1161, 九难
1134, 书僮
1134, 乾隆皇帝
1134, 于万亭
55, 于人豪
1161, 于八
55, 于嫂
909, 于管家
657, 云中鹤
657, 云岛主
1161, 云素梅
440, 云鹤
440, 五姑
1230, 人厨子
55, 仇松年
55, 令狐冲
55, 仪和
55, 仪清
55, 仪琳
55, 任我行
55, 任盈盈
909, 任通武
152, 任飞燕
440, 传功长老
55, 何三七
440, 何太冲
909, 何思豪
982, 何惕守
982, 何红药
440, 何足道
982, 何铁手
55, 余人彦
1076, 余兆兴
657, 余婆婆
55, 余沧海
1134, 余鱼同
1161, 佟国纲
827, 侍剑
55, 侯人英
1076, 侯通海
982, 侯飞文
596, 俏鬼
440, 俞岱岩
909, 俞朝奉
440, 俱明宝树王
909, 倪不大
909, 倪不小
982, 倪浩
55, 假东方不败
657, 傅思归
596, 催命鬼
1161, 元义方
1134, 元伤
440, 元广波
1134, 元悲
827, 元澄道人
1134, 元痛
1134, 兆惠
657, 全冠清
1076, 全金发
657, 公冶乾
596, 公孙止
596, 公孙绿萼
657, 兰剑
1161, 关安基
1134, 关明梅
982, 冯不摧
982, 冯不破
982, 冯同知
742, 冯坦
827, 冯振武
1134, 冯辉
1161, 冯锡范
657, 冯阿三
982, 冯难敌
596, 冯默风
55, 冲虚
55, 冲虚道长
440, 冷谦
1161, 净济
1161, 净清
742, 凌退思
742, 凌霜华
909, 凤一鸣
909, 凤七
1134, 凯别兴
657, 出尘子
657, 刀白凤
1161, 刘一舟
909, 刘之余
742, 刘乘风
909, 刘元鹤
982, 刘培生
1076, 刘处玄
982, 刘宗敏
440, 刘敖
55, 刘正风
657, 刘竹庄
982, 刘芳亮
55, 刘芹
55, 刘菁
909, 刘鹤真
440, 刚相
657, 努儿海
1161, 劳太监
55, 劳德诺
657, 包不同
1076, 包惜弱
1161, 华伯斯基
1076, 华筝
657, 华赫艮
657, 卓不凡
152, 卓天雄
657, 单伯山
657, 单叔山
657, 单季山
657, 单小山
657, 单正
982, 单铁生
909, 南仁通
909, 南兰
1076, 南希仁
1161, 南怀仁
1076, 博尔忽
1076, 博尔术
742, 卜垣
55, 卜沉
440, 卜泰
1161, 卢一峰
1161, 卫周祚
440, 卫四娘
440, 卫天望
1134, 卫春华
440, 卫璧
1161, 双儿
657, 古笃诚
925, 史仲俊
596, 史仲猛
596, 史伯威
596, 史叔刚
596, 史季强
827, 史小翠
1161, 史松
440, 史火龙
55, 史登达
982, 史秉光
982, 史秉文
440, 史红石
55, 史镖头
657, 叶二娘
440, 叶长青
1161, 司徒伯雷
440, 司徒千钟
827, 司徒横
909, 司徒雷
1161, 司徒鹤
657, 司空玄
55, 司马大
657, 司马林
55, 吉人通
596, 吊死鬼
55, 向大年
55, 向问天
982, 吕七
909, 吕小妹
1076, 吕文德
827, 吕正平
1161, 吕毅中
1161, 吕留良
1161, 吕葆中
1161, 吴三桂
1161, 吴之荣
657, 吴光胜
1161, 吴六奇
440, 吴六破
440, 吴劲草
1134, 吴国栋
742, 吴坎
1161, 吴大鹏
55, 吴天德
982, 吴平
1161, 吴应熊
55, 吴柏英
440, 吴祯
1161, 吴立身
440, 吴良
827, 吴道通
657, 吴长风
1076, 吴青烈
657, 吴领军
1142, 周云阳
440, 周五输
1134, 周仲英
1076, 周伯通
742, 周圻
1134, 周大奶奶
152, 周威信
55, 周孤桐
827, 周牧
1134, 周绮
440, 周芷若
1134, 周英杰
1134, 周阿三
909, 周隆
440, 周颠
1161, 呼巴音
827, 呼延万善
1134, 呼音克
1134, 和尔大
1134, 哈合台
657, 哈大霸
440, 哈总管
909, 哈赤大师
55, 哑婆婆
1076, 哑梢公
657, 哲罗星
657, 唐光雄
1134, 唐六爷
440, 唐文亮
440, 唐洋
909, 商宝震
909, 商老太
1134, 喀丝丽
1161, 图尔布青
1161, 图海道
440, 圆业
440, 圆真
440, 圆音
1230, 圣因师太
1161, 夏国相
55, 夏老拳师
440, 夏胄
982, 夏雪宜
982, 多尔衮
1161, 多隆
596, 大头鬼
827, 大悲老人
909, 大智禅师
657, 大汉
1134, 大痴
1134, 大癫
1134, 大苦
55, 天乙道人
657, 天山童姥
55, 天松道人
657, 天狼子
596, 天竺僧
1076, 天竺僧人
827, 天虚
1134, 天虹禅师
1134, 天镜
55, 天门道人
440, 天鸣方丈
1161, 太皇太后
440, 太虚子
657, 奚长老
440, 妙风使
657, 姚伯当
1161, 姚春
440, 姚清泉
909, 姜小铁
657, 姜师叔
1076, 姜文
909, 姜铁山
909, 姬晓峰
596, 子聪
827, 孙万年
440, 孙三毁
1076, 孙不二
982, 孙仲寿
909, 孙伏虎
1134, 孙克通
909, 孙刚峰
742, 孙均
596, 孙婆婆
1161, 孙思克
1134, 孙老三
982, 孟伯飞
1134, 孟健雄
657, 孟师叔
440, 孟正鸿
982, 孟铮
982, 孟铸
55, 季镖头
440, 季长老
55, 宁中则
982, 宁完我
1134, 安健刚
982, 安剑清
982, 安大娘
827, 安奉日
982, 安小慧
909, 安提督
596, 宋五
1134, 宋善朋
1134, 宋天保
1076, 宋德方
982, 宋献策
440, 宋远桥
657, 宋长老
440, 宋青书
1076, 完颜洪烈
1076, 完颜洪熙
596, 完颜萍
440, 宗维侠
657, 宗赞王子
909, 宗雄
55, 定逸
55, 定静师太
909, 宝树
742, 宝象和尚
657, 室里
440, 宫九佳
657, 容子矩
1161, 富春
1076, 察合台
440, 察罕特穆尔
1161, 对喀纳
440, 寿南山
827, 封万里
55, 封不平
440, 封坛主
909, 尉迟连
440, 小凤
440, 小昭
1161, 小桂子
596, 小棒头
657, 小沙弥
1132, 小王将军
440, 小玲
827, 小翠
982, 小菊
440, 小虹
596, 小龙女
827, 尤得胜
596, 尹克西
1076, 尹志平
1134, 尹章垓
596, 尼摩星
827, 展飞
982, 岑其斯
55, 岳不群
55, 岳灵珊
657, 岳老三
982, 崔希敏
1076, 崔志方
657, 崔百泉
909, 崔百胜
1161, 崔瞎子
982, 崔秋山
657, 崔绿华
55, 崔镖头
55, 左冷禅
657, 左子穆
657, 巴天石
982, 巴泰
1161, 巴颜法师
1134, 常伯志
440, 常敬之
440, 常胜宝树王
1134, 常赫志
440, 常遇春
440, 常金鹏
817, 常长风
55, 平一指
55, 平夫人
1161, 平威
657, 平婆婆
1134, 平旺先
440, 平等宝树王
909, 平阿四
657, 幽草
1161, 庄允城
1161, 庄夫人
440, 庄铮
982, 应松
909, 店伴
657, 康广陵
827, 廖自砺
1161, 建宁公主
55, 建除
1230, 张一氓
827, 张三
440, 张三丰
440, 张中
909, 张九
596, 张二叔
982, 张信
657, 张全祥
1161, 张勇
1076, 张十五
1134, 张召重
596, 张君宝
55, 张夫人
1161, 张妈
1134, 张安官
982, 张康
1161, 张康年
596, 张志光
909, 张总管
440, 张无忌
982, 张春九
982, 张朝唐
440, 张松溪
1161, 张淡月
440, 张翠山
982, 张若谷
1076, 张阿生
909, 张飞雄
982, 归二娘
982, 归辛树
1161, 归钟
1134, 彭三春
1161, 彭参将
440, 彭莹玉
1076, 彭连虎
1076, 彭长老
1161, 彼得
1134, 徐天宏
1161, 徐天川
440, 徐达
909, 徐铮
657, 徐长老
1134, 德布
440, 德成
1134, 德鄂
1161, 心溪
1134, 心砚
1134, 忽伦三虎
1134, 忽伦二虎
1134, 忽伦四虎
1134, 忽伦大虎
596, 忽必烈
1076, 忽都虎
1161, 慕天颜
657, 慕容博
657, 慕容复
909, 慕容景岳
657, 慧净
657, 慧方
657, 慧真
657, 慧观
55, 成不忧
440, 成昆
1134, 成璜
827, 成自学
55, 成高道人
742, 戚芳
742, 戚长发
1134, 戴永明
440, 执法长老
1076, 拖雷
440, 掌棒龙头
440, 掌钵龙头
